Semaine,,25,,,,,,,Semaine,,30,,,,
,,Début,Fin,Midi,,Total,,,,,Début,Fin,Midi,,Total
16/06/2025,,09:00,17:15,00:15,,08:00,,,14/07/2025,,07:15,15:45,00:15,,08:15
17/06/2025,,08:45,16:30,00:30,,07:15,,,15/07/2025,,07:30,15:45,00:15,,08:00
18/06/2025,,07:45,16:15,00:15,,08:15,,,16/07/2025,,07:15,15:30,00:15,,08:00
19/06/2025,,07:30,16:30,00:15,,08:45,,,17/07/2025,,07:00,15:30,00:15,,08:15
20/06/2025,,07:15,16:30,00:30,,08:45,,,18/07/2025,,07:15,15:30,00:15,,08:00
,,,,,Total,41:00,,,,,,,,Total,40:30
,,,,,,,,,,,,,,,
Semaine,,26,,,,,,,Semaine,,31,,,,
,,Début,Fin,Midi,,Total,,,,,Début,Fin,Midi,,Total
23/06/2025,,07:30,16:00,00:30,,08:00,,,21/07/2025,,00:00,00:00,00:00,,00:00
24/06/2025,,07:30,16:30,00:30,,08:30,,,22/07/2025,,07:15,15:30,00:15,,08:00
25/06/2025,,07:00,16:00,00:30,,08:30,,,23/07/2025,,07:15,15:30,00:15,,08:00
26/06/2025,,07:30,16:00,00:30,,08:00,,,24/07/2025,,07:15,15:45,00:15,,08:15
27/06/2025,,07:00,16:00,00:30,,08:30,,,25/07/2025,,07:00,15:30,00:15,,08:15
,,,,,Total,41:30,,,,,,,,Total,32:30
,,,,,,,,,,,,,,,
Semaine,,27,,,,,,,Semaine,,32,,,,
,,Début,Fin,Midi,,Total,,,,,Début,Fin,Midi,,Total
30/06/2025,,07:30,15:45,00:15,,08:00,,,28/07/2025,,07:15,15:30,00:15,,08:00
01/07/2025,,07:30,15:45,00:15,,08:00,,,29/07/2025,,07:00,16:00,00:15,,08:45
02/07/2025,,07:30,15:45,00:15,,08:00,,,30/07/2025,,07:15,15:30,00:15,,08:00
03/07/2025,,07:00,15:45,00:30,,08:15,,,31/07/2025,,07:15,15:30,00:15,,08:00
04/07/2025,,07:00,15:45,00:30,,08:15,,,01/08/2025,,,,,,00:00
,,,,,Total,40:30,,,,,,,,Total,32:45
,,,,,,,,,,,,,,,
Semaine,,28,,,,,,,Semaine,,33,,,,
,,Début,Fin,Midi,,Total,,,,,Début,Fin,Midi,,Total
07/07/2025,,07:15,15:45,00:15,,08:15,,,04/08/2025,,,,,,00:00
08/07/2025,,07:30,15:45,00:15,,08:00,,,05/08/2025,,,,,,00:00
09/07/2025,,07:30,15:45,00:15,,08:00,,,06/08/2025,,,,,,00:00
10/07/2025,,07:00,15:30,00:15,,08:15,,,07/08/2025,,,,,,00:00
11/07/2025,,07:00,15:30,00:15,,08:15,,,08/08/2025,,,,,,00:00
,,,,,Total,40:45,,,,,,,,Total,0:00
